FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
45001,Abbeville,South Carolina,US,7/20/2020 5:34,34.22333378,-82.46170658,190,2,0,188,"Abbeville, South Carolina, US",774.656501,1.052631579
22001,Acadia,Louisiana,US,7/20/2020 5:34,30.2950649,-92.41419698,1696,51,0,1645,"Acadia, Louisiana, US",2733.499879,3.007075472
51001,Accomack,Virginia,US,7/20/2020 5:34,37.76707161,-75.63234615,1052,15,0,1037,"Accomack, Virginia, US",3255.353385,1.425855513
16001,Ada,Idaho,US,7/20/2020 5:34,43.4526575,-116.2415516,5900,32,0,5868,"Ada, Idaho, US",1225.116126,0.542372881
19001,Adair,Iowa,US,7/20/2020 5:34,41.33075609,-94.47105874,20,0,0,20,"Adair, Iowa, US",279.6420582,0
21001,Adair,Kentucky,US,7/20/2020 5:34,37.10459774,-85.28129668,163,19,0,144,"Adair, Kentucky, US",848.8699094,11.65644172
29001,Adair,Missouri,US,7/20/2020 5:34,40.19058551,-92.60078167,107,0,0,107,"Adair, Missouri, US",422.2073156,0
40001,Adair,Oklahoma,US,7/20/2020 5:34,35.88494195,-94.65859267,170,4,0,166,"Adair, Oklahoma, US",765.9727854,2.352941176
8001,Adams,Colorado,US,7/20/2020 5:34,39.87432092,-104.3362578,5094,161,0,4933,"Adams, Colorado, US",984.4981166,3.160581076
16003,Adams,Idaho,US,7/20/2020 5:34,44.89333571,-116.4545247,15,0,0,15,"Adams, Idaho, US",349.324639,0
17001,Adams,Illinois,US,7/20/2020 5:34,39.98815591,-91.18786813,252,1,0,251,"Adams, Illinois, US",385.1149996,0.396825397
18001,Adams,Indiana,US,7/20/2020 5:34,40.7457653,-84.93671406,57,1,0,56,"Adams, Indiana, US",159.3202337,1.754385965
19003,Adams,Iowa,US,7/20/2020 5:34,41.02903567,-94.69932645,12,0,0,12,"Adams, Iowa, US",333.148251,0
28001,Adams,Mississippi,US,7/20/2020 5:34,31.47669768,-91.35326037,408,22,0,386,"Adams, Mississippi, US",1329.293324,5.392156863
31001,Adams,Nebraska,US,7/20/2020 5:34,40.5244942,-98.50117804,316,11,0,305,"Adams, Nebraska, US",1007.556675,3.481012658
39001,Adams,Ohio,US,7/20/2020 5:34,38.84541072,-83.4718964,34,2,0,32,"Adams, Ohio, US",122.7525453,5.882352941
42001,Adams,Pennsylvania,US,7/20/2020 5:34,39.87140411,-77.21610347,413,15,0,398,"Adams, Pennsylvania, US",400.9358406,3.631961259
53001,Adams,Washington,US,7/20/2020 5:34,46.98299757,-118.5601734,296,0,0,296,"Adams, Washington, US",1481.25907,0
55001,Adams,Wisconsin,US,7/20/2020 5:34,43.96974651,-89.76782777,51,2,0,49,"Adams, Wisconsin, US",252.2255193,3.921568627
50001,Addison,Vermont,US,7/20/2020 5:34,44.03217337,-73.14130877,70,2,0,68,"Addison, Vermont, US",190.3363515,2.857142857
72001,Adjuntas,Puerto Rico,US,7/20/2020 5:34,18.180117,-66.754367,72,0,0,72,"Adjuntas, Puerto Rico, US",369.5529436,0
