state,date,positive
GA,20200717,135183.0
TX,20200717,307572.0
WA,20200717,44313.0
GA,20200716,131275.0
TX,20200716,292656.0
WA,20200716,43046.0
GA,20200715,127834.0
TX,20200715,282365.0
WA,20200715,42304.0
GA,20200714,123963.0
TX,20200714,275058.0
WA,20200714,41757.0
GA,20200713,120569.0
TX,20200713,264313.0
WA,20200713,40656.0
GA,20200712,116926.0
TX,20200712,258658.0
WA,20200712,39218.0
GA,20200711,114401.0
TX,20200711,250462.0
WA,20200711,39218.0
GA,20200710,111211.0
TX,20200710,240111.0
WA,20200710,38581.0
GA,20200709,106727.0
TX,20200709,230346.0
WA,20200709,37941.0
GA,20200708,103890.0
TX,20200708,220564.0
WA,20200708,37420.0
GA,20200707,100470.0
TX,20200707,210585.0
WA,20200707,36985.0
GA,20200706,97064.0
TX,20200706,200557.0
WA,20200706,35898.0
GA,20200705,95516.0
TX,20200705,195239.0
WA,20200705,35247.0
GA,20200704,93319.0
TX,20200704,191790.0
WA,20200704,34778.0
GA,20200703,90493.0
TX,20200703,183532.0
WA,20200703,34151.0
GA,20200702,87709.0
TX,20200702,175977.0
WA,20200702,33435.0
GA,20200701,84237.0
TX,20200701,168062.0
WA,20200701,32824.0
GA,20200630,81291.0
TX,20200630,159986.0
WA,20200630,32253.0
GA,20200629,79417.0
TX,20200629,153011.0
WA,20200629,31752.0
GA,20200628,77210.0
TX,20200628,148728.0
WA,20200628,31404.0
GA,20200627,74985.0
TX,20200627,143371.0
WA,20200627,30855.0
GA,20200626,72995.0
TX,20200626,137624.0
WA,20200626,30367.0
GA,20200625,71095.0
TX,20200625,131917.0
WA,20200625,29869.0
GA,20200624,69381.0
TX,20200624,125921.0
WA,20200624,29386.0
GA,20200623,67678.0
TX,20200623,120370.0
WA,20200623,28870.0
GA,20200622,65928.0
TX,20200622,114881.0
WA,20200622,28680.0
GA,20200621,64701.0
TX,20200621,111601.0
WA,20200621,28225.0
GA,20200620,63809.0
TX,20200620,107735.0
WA,20200620,28680.0
GA,20200619,62009.0
TX,20200619,103305.0
WA,20200619,28666.0
GA,20200618,60912.0
TX,20200618,99851.0
WA,20200618,28575.0
GA,20200617,60030.0
TX,20200617,96335.0
WA,20200617,28255.0
GA,20200616,59078.0
TX,20200616,93206.0
WA,20200616,27925.0
GA,20200615,58414.0
TX,20200615,89108.0
WA,20200615,27493.0
GA,20200614,57681.0
TX,20200614,87854.0
WA,20200614,27095.0
GA,20200613,56801.0
TX,20200613,86011.0
WA,20200613,26985.0
GA,20200612,55783.0
TX,20200612,83680.0
WA,20200612,26825.0
GA,20200611,54973.0
TX,20200611,81583.0
WA,20200611,26559.0
GA,20200610,53980.0
TX,20200610,79757.0
WA,20200610,26281.0
GA,20200609,53249.0
TX,20200609,77253.0
WA,20200609,26004.0
GA,20200608,52497.0
TX,20200608,75616.0
WA,20200608,25732.0
GA,20200607,51898.0
TX,20200607,74978.0
WA,20200607,25419.0
GA,20200606,51309.0
TX,20200606,73553.0
WA,20200606,25227.0
GA,20200605,50621.0
TX,20200605,71613.0
WA,20200605,25023.0
GA,20200604,49847.0
TX,20200604,69920.0
WA,20200604,24677.0
GA,20200603,48894.0
TX,20200603,68271.0
WA,20200603,24385.0
GA,20200602,48207.0
TX,20200602,66568.0
WA,20200602,24086.0
GA,20200601,47618.0
TX,20200601,64880.0
WA,20200601,23798.0
GA,20200531,46986.0
TX,20200531,64287.0
WA,20200531,23456.0
GA,20200530,46286.0
