state,date,cases
Washington,2020-01-21,1
Washington,2020-01-22,1
Washington,2020-01-23,1
Washington,2020-01-24,1
Washington,2020-01-25,1
Washington,2020-01-26,1
Washington,2020-01-27,1
Washington,2020-01-28,1
Washington,2020-01-29,1
Washington,2020-01-30,1
Washington,2020-01-31,1
Washington,2020-02-01,1
Washington,2020-02-02,1
Washington,2020-02-03,1
Washington,2020-02-04,1
Washington,2020-02-05,1
Washington,2020-02-06,1
Washington,2020-02-07,1
Washington,2020-02-08,1
Washington,2020-02-09,1
Washington,2020-02-10,1
Washington,2020-02-11,1
Texas,2020-02-12,1
Washington,2020-02-12,1
Texas,2020-02-13,2
Washington,2020-02-13,1
Texas,2020-02-14,2
Washington,2020-02-14,1
Texas,2020-02-15,2
Washington,2020-02-15,1
Texas,2020-02-16,2
Washington,2020-02-16,1
Texas,2020-02-17,2
Washington,2020-02-17,1
Texas,2020-02-18,2
Washington,2020-02-18,1
Texas,2020-02-19,2
Washington,2020-02-19,1
Texas,2020-02-20,2
Washington,2020-02-20,1
Texas,2020-02-21,4
Washington,2020-02-21,1
Texas,2020-02-22,4
Washington,2020-02-22,1
Texas,2020-02-23,4
Washington,2020-02-23,1
Texas,2020-02-24,10
Washington,2020-02-24,5
Texas,2020-02-25,10
Washington,2020-02-25,5
Texas,2020-02-26,10
Washington,2020-02-26,5
Texas,2020-02-27,10
Washington,2020-02-27,5
Texas,2020-02-28,11
Washington,2020-02-28,7
Texas,2020-02-29,11
Washington,2020-02-29,10
Texas,2020-03-01,11
Washington,2020-03-01,17
Georgia,2020-03-02,2
Texas,2020-03-02,11
Washington,2020-03-02,23
Georgia,2020-03-03,2
Texas,2020-03-03,11
Washington,2020-03-03,32
Georgia,2020-03-04,2
Texas,2020-03-04,12
Washington,2020-03-04,47
Georgia,2020-03-05,2
Texas,2020-03-05,16
Washington,2020-03-05,75
Georgia,2020-03-06,3
Texas,2020-03-06,19
Washington,2020-03-06,86
Georgia,2020-03-07,7
Texas,2020-03-07,19
Washington,2020-03-07,110
Georgia,2020-03-08,11
Texas,2020-03-08,23
Washington,2020-03-08,141
Georgia,2020-03-09,17
Texas,2020-03-09,24
Washington,2020-03-09,179
Georgia,2020-03-10,22
Texas,2020-03-10,31
Washington,2020-03-10,279
Georgia,2020-03-11,31
Texas,2020-03-11,33
Washington,2020-03-11,338
Georgia,2020-03-12,31
Texas,2020-03-12,41
Washington,2020-03-12,419
Georgia,2020-03-13,41
Texas,2020-03-13,58
Washington,2020-03-13,511
Georgia,2020-03-14,65
Texas,2020-03-14,69
Washington,2020-03-14,609
Georgia,2020-03-15,97
Texas,2020-03-15,80
Washington,2020-03-15,675
Georgia,2020-03-16,118
Texas,2020-03-16,87
Washington,2020-03-16,794
Georgia,2020-03-17,142
Texas,2020-03-17,106
Washington,2020-03-17,908
Georgia,2020-03-18,193
Texas,2020-03-18,166
Washington,2020-03-18,1026
Georgia,2020-03-19,282
Texas,2020-03-19,248
Washington,2020-03-19,1228
Georgia,2020-03-20,482
Texas,2020-03-20,386
Washington,2020-03-20,1404
Georgia,2020-03-21,552
Texas,2020-03-21,547
Washington,2020-03-21,1655
Georgia,2020-03-22,620
Texas,2020-03-22,639
Washington,2020-03-22,1844
Georgia,2020-03-23,800
Texas,2020-03-23,728
Washington,2020-03-23,2101
Georgia,2020-03-24,1095
Texas,2020-03-24,857
Washington,2020-03-24,2469
Georgia,2020-03-25,1385
Texas,2020-03-25,1132
Washington,2020-03-25,2585
Georgia,2020-03-26,1641
Texas,2020-03-26,1542
Washington,2020-03-26,3208
Georgia,2020-03-27,2198
Texas,2020-03-27,1971
Washington,2020-03-27,3770
Georgia,2020-03-28,2447
Texas,2020-03-28,2381
Washington,2020-03-28,4311
Georgia,2020-03-29,2683
Texas,2020-03-29,2722
Washington,2020-03-29,4897
Georgia,2020-03-30,3032
Texas,2020-03-30,3065
Washington,2020-03-30,5180
Georgia,2020-03-31,4116
Texas,2020-03-31,3588
Washington,2020-03-31,5293
Georgia,2020-04-01,4747
Texas,2020-04-01,4402
Washington,2020-04-01,5589
Georgia,2020-04-02,5444
Texas,2020-04-02,4952
Washington,2020-04-02,6586
Georgia,2020-04-03,5967
Texas,2020-04-03,5773
Washington,2020-04-03,6967
Georgia,2020-04-04,6383
Texas,2020-04-04,6566
Washington,2020-04-04,7499
