state,date,positive cases,negative cases
Florida,2020-07-17,327241,2553527
Georgia,2020-07-17,135183,1063495
New York,2020-07-17,405551,4593898
Texas,2020-07-17,307572,2459749
Washington,2020-07-17,44313,708861
Florida,2020-07-16,315775,2499843
Georgia,2020-07-16,131275,1046947
New York,2020-07-16,404775,4516435
Texas,2020-07-16,292656,2407199
Washington,2020-07-16,43046,690840
Florida,2020-07-15,301810,2434143
Georgia,2020-07-15,127834,1027149
New York,2020-07-15,404006,4444519
Texas,2020-07-15,282365,2359834
Washington,2020-07-15,42304,675930
Florida,2020-07-14,291629,2393614
Georgia,2020-07-14,123963,1007071
New York,2020-07-14,403175,4381752
Texas,2020-07-14,275058,2323622
Washington,2020-07-14,41757,666517
Florida,2020-07-13,282435,2357139
Georgia,2020-07-13,120569,987398
New York,2020-07-13,402263,4322619
Texas,2020-07-13,264313,2275812
Washington,2020-07-13,40656,645349
Florida,2020-07-12,269811,2304196
Georgia,2020-07-12,116926,966490
New York,2020-07-12,401706,4271489
Texas,2020-07-12,258658,2234096
Washington,2020-07-12,39218,629248
Florida,2020-07-11,254511,2220788
Georgia,2020-07-11,114401,950472
New York,2020-07-11,401029,4209748
Texas,2020-07-11,250462,2179162
Washington,2020-07-11,39218,629248
Florida,2020-07-10,244151,2177476
Georgia,2020-07-10,111211,935137
New York,2020-07-10,400299,4141275
Texas,2020-07-10,240111,2149678
Washington,2020-07-10,38581,621749
Florida,2020-07-09,232718,2124680
Georgia,2020-07-09,106727,912695
New York,2020-07-09,399513,4068503
Texas,2020-07-09,230346,2082866
Washington,2020-07-09,37941,607131
Florida,2020-07-08,223783,2096424
Georgia,2020-07-08,103890,896519
New York,2020-07-08,398929,4003523
Texas,2020-07-08,220564,2038144
Washington,2020-07-08,37420,598104
Florida,2020-07-07,213794,2055400
Georgia,2020-07-07,100470,878982
New York,2020-07-07,398237,3946630
Texas,2020-07-07,210585,2010702
Washington,2020-07-07,36985,592271
Florida,2020-07-06,206447,2027493
Georgia,2020-07-06,97064,861889
New York,2020-07-06,397649,3890482
Texas,2020-07-06,200557,1963172
Washington,2020-07-06,35898,576808
Florida,2020-07-05,200111,2000088
Georgia,2020-07-05,95516,853669
New York,2020-07-05,397131,3836672
Texas,2020-07-05,195239,1938218
Washington,2020-07-05,35247,572029
Florida,2020-07-04,190052,1956445
Georgia,2020-07-04,93319,833040
New York,2020-07-04,396598,3773790
Texas,2020-07-04,191790,1880019
Washington,2020-07-04,34778,565197
Florida,2020-07-03,178594,1902766
Georgia,2020-07-03,90493,810724
New York,2020-07-03,395872,3712113
Texas,2020-07-03,183532,1830374
Washington,2020-07-03,34151,550838
Florida,2020-07-02,169106,1863077
Georgia,2020-07-02,87709,795530
New York,2020-07-02,394954,3646639
Texas,2020-07-02,175977,1799826
Washington,2020-07-02,33435,538529
Florida,2020-07-01,158997,1821357
Georgia,2020-07-01,84237,770801
New York,2020-07-01,394079,3577569
Texas,2020-07-01,168062,1753886
Washington,2020-07-01,32824,524451
Florida,2020-06-30,152434,1792561
Georgia,2020-06-30,81291,752587
New York,2020-06-30,393454,3521484
Texas,2020-06-30,159986,1709296
Washington,2020-06-30,32253,515967
Florida,2020-06-29,146341,1766402
Georgia,2020-06-29,79417,743700
New York,2020-06-29,392930,3469983
Texas,2020-06-29,153011,1666178
Washington,2020-06-29,31752,502691
Florida,2020-06-28,141075,1740822
Georgia,2020-06-28,77210,729728
New York,2020-06-28,392539,3423946
Texas,2020-06-28,148728,1626491
Washington,2020-06-28,31404,494398
Florida,2020-06-27,132545,1696980
Georgia,2020-06-27,74985,714828
New York,2020-06-27,391923,3362656
Texas,2020-06-27,143371,1579455
