,state,date,positive cases
0,Connecticut,3/10/2020,2
1,Connecticut,3/11/2020,3
2,Connecticut,3/12/2020,6
3,Connecticut,3/13/2020,11
4,Connecticut,3/14/2020,20
5,Connecticut,3/15/2020,26
6,Connecticut,3/16/2020,41
7,Connecticut,3/17/2020,68
8,Connecticut,3/18/2020,96
9,Connecticut,3/19/2020,159
10,Connecticut,3/20/2020,194
11,Connecticut,3/21/2020,223
12,Connecticut,3/22/2020,327
13,Connecticut,3/23/2020,415
14,Connecticut,3/24/2020,618
15,Connecticut,3/25/2020,875
16,Connecticut,3/26/2020,1012
17,Connecticut,3/27/2020,1291
18,Connecticut,3/28/2020,1524
19,Connecticut,3/29/2020,1993
20,Connecticut,3/30/2020,2571
21,Connecticut,3/31/2020,3128
22,Connecticut,3/8/2020,1
23,Connecticut,3/9/2020,2
24,Connecticut,4/1/2020,3557
25,Connecticut,4/10/2020,10538
26,Connecticut,4/11/2020,11510
27,Connecticut,4/12/2020,12035
28,Connecticut,4/13/2020,13381
29,Connecticut,4/14/2020,13989
30,Connecticut,4/15/2020,14755
31,Connecticut,4/16/2020,15884
32,Connecticut,4/17/2020,16809
33,Connecticut,4/18/2020,17550
34,Connecticut,4/19/2020,17962
35,Connecticut,4/2/2020,3824
36,Connecticut,4/20/2020,19815
37,Connecticut,4/21/2020,20360
38,Connecticut,4/22/2020,22469
39,Connecticut,4/23/2020,23100
40,Connecticut,4/24/2020,23921
41,Connecticut,4/25/2020,24582
42,Connecticut,4/26/2020,25269
43,Connecticut,4/27/2020,25997
44,Connecticut,4/28/2020,26312
45,Connecticut,4/29/2020,26767
46,Connecticut,4/3/2020,4915
47,Connecticut,4/30/2020,27700
48,Connecticut,4/4/2020,5276
49,Connecticut,4/5/2020,5675
50,Connecticut,4/6/2020,6906
51,Connecticut,4/7/2020,7781
52,Connecticut,4/8/2020,8781
53,Connecticut,4/9/2020,9784
54,Connecticut,5/1/2020,28764
55,Connecticut,5/10/2020,33554
56,Connecticut,5/11/2020,33765
57,Connecticut,5/12/2020,34333
58,Connecticut,5/13/2020,34855
59,Connecticut,5/14/2020,35464
60,Connecticut,5/15/2020,36085
61,Connecticut,5/16/2020,36703
62,Connecticut,5/17/2020,37419
63,Connecticut,5/18/2020,38116
64,Connecticut,5/19/2020,38430
65,Connecticut,5/2/2020,29287
66,Connecticut,5/20/2020,39017
67,Connecticut,5/21/2020,39208
68,Connecticut,5/22/2020,39640
69,Connecticut,5/23/2020,40022
70,Connecticut,5/24/2020,40468
71,Connecticut,5/25/2020,40873
72,Connecticut,5/26/2020,41303
73,Connecticut,5/27/2020,41288
74,Connecticut,5/28/2020,41559
75,Connecticut,5/29/2020,41762
76,Connecticut,5/3/2020,29287
